name,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TU18,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,TH7,TH8,TH9,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TH17,TH18,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,wait_std,wait_25,wait_50,wait_75,wkday_wait_std,wkday_wait_25,wkday_wait_50,wkday_wait_75,mon_median,tue_median,wed_median,thu_median,fri_median,sat_median,7_wkday_hour_median_wait,8_wkday_hour_median_wait,9_wkday_hour_median_wait,10_wkday_hour_median_wait,11_wkday_hour_median_wait,12_wkday_hour_median_wait,13_wkday_hour_median_wait,14_wkday_hour_median_wait,15_wkday_hour_median_wait,16_wkday_hour_median_wait,17_wkday_hour_median_wait,18_wkday_hour_median_wait
Crescent City,0.0,11.0,16.0,18.0,16.0,19.0,22.0,11.0,14.0,7.0,0.0,0.0,0.0,8.0,5.0,11.0,11.0,11.0,7.0,9.0,7.0,3.0,0.0,0.0,0.0,1.0,11.0,9.0,6.0,10.0,6.0,9.0,15.0,13.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,9.0,8.0,5.0,3.0,4.0,0.0,0.0,0.0,6.0,7.0,5.0,2.0,5.0,4.0,9.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.670928389161,0.0,4.5,9.0,5.619251613921998,0.75,6.0,10.25,12.5,7.0,7.5,3.5,5.0,0.0,0.0,6.0,7.0,9.0,7.0,10.0,7.0,9.0,13.0,7.0,0.0,0.0
Culver City,0.0,12.0,27.0,37.0,41.0,37.0,33.0,25.0,33.0,27.0,3.0,0.0,0.0,16.0,43.0,55.0,54.0,53.0,41.0,34.0,27.0,17.0,1.0,0.0,0.0,6.0,19.0,32.0,39.0,40.0,31.0,34.0,33.0,24.0,0.0,0.0,0.0,11.0,26.0,37.0,37.0,31.0,21.0,24.0,23.0,14.0,4.0,0.0,0.0,11.0,26.0,32.0,32.0,32.0,26.0,21.0,18.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.602593976862874,0.0,18.5,32.0,15.812915767964673,5.5,24.5,33.0,27.0,30.5,27.5,22.0,19.5,0.0,0.0,11.0,26.0,37.0,39.0,37.0,31.0,25.0,27.0,17.0,2.0,0.0
Daly City,0.0,8.0,23.0,36.0,27.0,14.0,12.0,11.0,17.0,15.0,1.0,0.0,0.0,8.0,22.0,27.0,27.0,19.0,19.0,10.0,11.0,10.0,1.0,0.0,0.0,6.0,16.0,17.0,19.0,13.0,13.0,14.0,19.0,17.0,1.0,0.0,0.0,8.0,18.0,7.0,3.0,2.0,3.0,9.0,10.0,14.0,1.0,0.0,0.0,9.0,21.0,19.0,19.0,11.0,11.0,9.0,16.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.862263282318633,0.0,9.0,16.0,8.620613188828996,2.0,10.5,17.0,13.0,10.5,13.5,5.0,10.5,0.0,0.0,8.0,21.0,19.0,19.0,13.0,12.0,10.0,16.0,14.0,1.0,0.0
Davis,0.0,8.0,28.0,26.0,19.0,19.0,12.0,7.0,9.0,2.0,0.0,0.0,0.0,5.0,10.0,11.0,14.0,15.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,12.0,10.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,10.0,16.0,17.0,17.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.678730282371308,0.0,3.0,8.25,6.8546450084661865,0.0,4.0,10.0,8.5,5.0,5.5,2.0,7.0,0.0,0.0,4.0,5.0,11.0,10.0,15.0,6.0,6.0,6.0,3.0,0.0,0.0
Delano,0.0,8.0,35.0,48.0,50.0,53.0,60.0,52.0,45.0,29.0,1.0,0.0,0.0,8.0,30.0,41.0,39.0,43.0,39.0,48.0,33.0,14.0,0.0,0.0,0.0,4.0,16.0,40.0,42.0,40.0,38.0,53.0,45.0,22.0,0.0,0.0,0.0,9.0,28.0,23.0,16.0,18.0,24.0,21.0,17.0,16.0,0.0,0.0,0.0,8.0,29.0,32.0,23.0,18.0,17.0,25.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.539873706633035,0.0,16.0,33.5,18.203153635013,3.25,19.5,39.0,40.0,31.5,30.0,16.5,15.0,0.0,0.0,8.0,29.0,40.0,39.0,40.0,38.0,48.0,33.0,16.0,0.0,0.0
El Cajon,0.0,11.0,22.0,30.0,32.0,57.0,45.0,20.0,20.0,10.0,1.0,0.0,0.0,9.0,14.0,14.0,19.0,38.0,23.0,10.0,19.0,10.0,1.0,0.0,0.0,3.0,13.0,29.0,33.0,55.0,42.0,19.0,21.0,10.0,0.0,0.0,0.0,6.0,15.0,18.0,19.0,30.0,17.0,10.0,17.0,8.0,1.0,0.0,0.0,5.0,15.0,25.0,35.0,48.0,41.0,26.0,29.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.062285914296217,0.0,10.0,21.25,15.01227369794199,2.5,14.5,25.25,20.0,12.0,16.0,12.5,20.0,0.0,0.0,6.0,15.0,25.0,32.0,48.0,41.0,19.0,20.0,10.0,1.0,0.0
El Centro,0.0,19.0,35.0,44.0,58.0,58.0,59.0,61.0,61.0,27.0,2.0,0.0,0.0,17.0,26.0,42.0,43.0,51.0,63.0,41.0,43.0,36.0,7.0,0.0,0.0,4.0,11.0,27.0,44.0,53.0,60.0,58.0,45.0,40.0,0.0,0.0,0.0,13.0,15.0,17.0,30.0,30.0,30.0,17.0,20.0,20.0,3.0,0.0,0.0,13.0,18.0,18.0,18.0,16.0,21.0,35.0,32.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.919904636867958,0.0,17.5,37.0,20.378591846585415,6.25,20.5,42.25,39.5,38.5,33.5,17.0,18.0,0.0,0.0,13.0,18.0,27.0,43.0,51.0,59.0,41.0,43.0,35.0,2.0,0.0
El Cerrito,0.0,11.0,29.0,46.0,58.0,46.0,37.0,37.0,50.0,22.0,0.0,0.0,0.0,10.0,29.0,37.0,33.0,20.0,17.0,21.0,23.0,9.0,0.0,0.0,0.0,3.0,14.0,32.0,32.0,32.0,28.0,22.0,25.0,7.0,0.0,0.0,0.0,6.0,5.0,5.0,8.0,7.0,12.0,18.0,17.0,5.0,0.0,0.0,0.0,6.0,8.0,12.0,12.0,11.0,13.0,20.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7819572378257,0.0,8.0,22.0,14.883692209438852,2.25,12.0,25.75,33.0,18.5,18.0,5.5,11.5,0.0,0.0,6.0,14.0,32.0,32.0,20.0,17.0,21.0,25.0,9.0,0.0,0.0
Eureka,0.0,5.0,10.0,7.0,15.0,13.0,10.0,12.0,9.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,8.0,11.0,7.0,9.0,2.0,4.0,0.0,0.0,0.0,1.0,6.0,7.0,9.0,8.0,5.0,11.0,4.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,6.0,7.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,7.0,6.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8843814701083126,0.0,3.0,6.0,3.8504530513388904,0.75,4.0,7.0,8.0,3.5,4.5,2.5,4.0,0.0,0.0,3.0,4.0,3.0,8.0,8.0,5.0,9.0,4.0,3.0,0.0,0.0
Fairfield,0.0,9.0,27.0,37.0,34.0,29.0,33.0,23.0,24.0,16.0,3.0,0.0,0.0,8.0,6.0,9.0,8.0,16.0,18.0,13.0,17.0,11.0,0.0,0.0,0.0,2.0,8.0,25.0,22.0,24.0,21.0,10.0,11.0,8.0,3.0,0.0,0.0,4.0,2.0,4.0,4.0,6.0,10.0,7.0,13.0,9.0,0.0,0.0,0.0,5.0,6.0,5.0,4.0,11.0,11.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.635360915331667,0.0,5.5,11.25,9.73808122725933,2.75,8.0,13.75,23.5,8.5,9.0,4.0,5.0,0.0,0.0,5.0,6.0,9.0,8.0,16.0,18.0,12.0,13.0,9.0,0.0,0.0
Fall River Mills,0.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,9.0,10.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9690484503147736,0.0,1.0,2.0,2.061484298781898,0.0,1.0,2.0,2.0,1.5,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0
Folsom,0.0,15.0,50.0,68.0,74.0,76.0,75.0,75.0,61.0,47.0,2.0,0.0,0.0,16.0,36.0,49.0,51.0,46.0,40.0,30.0,34.0,26.0,7.0,0.0,0.0,5.0,15.0,32.0,44.0,52.0,54.0,41.0,44.0,21.0,0.0,0.0,0.0,9.0,20.0,23.0,25.0,22.0,18.0,18.0,17.0,11.0,0.0,0.0,0.0,11.0,26.0,26.0,24.0,25.0,24.0,20.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.600285115987887,0.0,17.5,34.5,22.43092976605053,6.5,21.5,41.75,55.5,32.0,26.5,17.5,20.5,0.0,0.0,11.0,26.0,32.0,44.0,46.0,40.0,30.0,34.0,21.0,0.0,0.0
Fontana Commercial Drive Test Center,13.0,17.0,26.0,32.0,45.0,65.0,51.0,26.0,15.0,2.0,0.0,0.0,7.0,14.0,13.0,6.0,11.0,20.0,9.0,3.0,4.0,0.0,0.0,0.0,1.0,16.0,35.0,34.0,22.0,29.0,19.0,14.0,6.0,1.0,0.0,0.0,5.0,11.0,9.0,5.0,10.0,24.0,28.0,28.0,22.0,2.0,0.0,0.0,8.0,11.0,5.0,5.0,8.0,16.0,25.0,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.609464625272425,0.0,6.5,17.5,13.86186900924181,2.0,9.5,21.25,21.5,6.5,15.0,9.5,8.0,0.0,7.0,14.0,13.0,6.0,11.0,24.0,25.0,21.0,8.0,1.0,0.0,0.0
Fontana,0.0,17.0,36.0,45.0,33.0,50.0,53.0,53.0,32.0,14.0,2.0,0.0,0.0,19.0,22.0,19.0,15.0,21.0,26.0,27.0,24.0,8.0,2.0,0.0,0.0,6.0,11.0,23.0,15.0,22.0,30.0,23.0,21.0,8.0,3.0,0.0,0.0,8.0,5.0,6.0,8.0,12.0,22.0,23.0,15.0,4.0,1.0,0.0,0.0,15.0,21.0,16.0,12.0,15.0,28.0,36.0,36.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.284822099347812,0.0,10.0,22.0,14.176958707427005,3.75,15.0,23.0,32.5,19.0,13.0,7.0,15.0,0.0,0.0,15.0,21.0,19.0,15.0,21.0,28.0,27.0,24.0,8.0,2.0,0.0
Fort Bragg,0.0,9.0,16.0,14.0,13.0,13.0,9.0,12.0,10.0,6.0,3.0,0.0,0.0,2.0,6.0,7.0,7.0,6.0,10.0,12.0,15.0,4.0,0.0,0.0,0.0,1.0,6.0,10.0,12.0,7.0,7.0,11.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,6.0,5.0,4.0,7.0,3.0,2.0,8.0,2.0,0.0,0.0,2.0,3.0,7.0,11.0,8.0,12.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72995316721067,0.0,4.0,8.0,4.62075885860521,2.0,6.0,9.25,9.5,6.0,5.5,3.5,5.5,0.0,0.0,2.0,6.0,7.0,11.0,7.0,9.0,11.0,10.0,4.0,0.0,0.0
Fremont,0.0,10.0,14.0,16.0,13.0,13.0,4.0,6.0,10.0,2.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,12.0,4.0,0.0,0.0,0.0,1.0,6.0,9.0,4.0,3.0,3.0,7.0,11.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,2.0,0.0,0.0,0.0,7.0,3.0,3.0,4.0,4.0,4.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.037359764179397,0.0,3.0,6.0,4.056765291801876,0.75,3.5,6.0,8.0,5.0,3.0,2.0,3.5,0.0,0.0,5.0,5.0,6.0,4.0,4.0,4.0,6.0,10.0,2.0,0.0,0.0
Fresno Commercial Drive Test Center,4.0,15.0,21.0,11.0,18.0,23.0,22.0,20.0,13.0,1.0,0.0,0.0,4.0,12.0,8.0,9.0,16.0,17.0,25.0,14.0,11.0,0.0,0.0,0.0,1.0,10.0,16.0,13.0,13.0,17.0,14.0,9.0,7.0,0.0,0.0,0.0,4.0,7.0,10.0,6.0,9.0,14.0,12.0,5.0,6.0,0.0,0.0,0.0,3.0,12.0,18.0,11.0,15.0,14.0,15.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3575677242483755,0.0,7.0,14.0,7.149019133858237,1.0,9.5,14.0,14.0,10.0,9.5,6.0,11.5,0.0,4.0,12.0,16.0,11.0,15.0,17.0,15.0,14.0,7.0,0.0,0.0,0.0
Fresno North,0.0,12.0,34.0,56.0,71.0,64.0,53.0,55.0,56.0,42.0,4.0,0.0,1.0,18.0,36.0,62.0,79.0,73.0,56.0,38.0,43.0,40.0,2.0,0.0,0.0,5.0,16.0,37.0,51.0,58.0,49.0,30.0,35.0,17.0,0.0,0.0,0.0,9.0,20.0,34.0,33.0,25.0,36.0,39.0,32.0,11.0,0.0,0.0,0.0,10.0,22.0,37.0,38.0,41.0,36.0,30.0,36.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.063899634573456,0.0,21.0,38.25,22.41934067179925,4.75,32.5,41.25,47.5,39.0,23.5,22.5,27.5,0.0,0.0,10.0,22.0,37.0,51.0,58.0,49.0,38.0,36.0,25.0,2.0,0.0
Fresno,0.0,12.0,26.0,46.0,34.0,50.0,38.0,44.0,39.0,21.0,1.0,0.0,0.0,15.0,29.0,35.0,31.0,41.0,33.0,35.0,27.0,18.0,2.0,0.0,0.0,6.0,24.0,44.0,32.0,39.0,40.0,39.0,41.0,17.0,0.0,0.0,0.0,12.0,39.0,36.0,27.0,34.0,34.0,20.0,28.0,16.0,0.0,0.0,0.0,12.0,27.0,36.0,31.0,35.0,30.0,30.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.680082628528034,0.0,19.0,34.0,15.784020740434398,5.0,27.0,35.0,30.0,28.0,28.0,23.5,27.5,0.0,0.0,12.0,27.0,36.0,31.0,39.0,34.0,35.0,28.0,17.0,0.0,0.0
Fullerton,0.0,20.0,18.0,26.0,31.0,41.0,41.0,37.0,35.0,12.0,0.0,0.0,0.0,21.0,15.0,16.0,18.0,24.0,30.0,20.0,23.0,8.0,4.0,0.0,0.0,6.0,11.0,13.0,17.0,27.0,29.0,19.0,22.0,3.0,0.0,0.0,0.0,12.0,9.0,11.0,9.0,14.0,17.0,11.0,10.0,3.0,1.0,0.0,0.0,11.0,7.0,9.0,10.0,12.0,14.0,16.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28334044146488,0.0,9.5,17.25,11.167396046674302,3.0,11.0,19.25,23.0,17.0,12.0,9.5,9.5,0.0,0.0,12.0,11.0,13.0,17.0,24.0,29.0,19.0,22.0,5.0,0.0,0.0
Garberville,0.0,1.0,4.0,9.0,18.0,10.0,4.0,10.0,26.0,10.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,0.0,6.0,23.0,22.0,4.0,0.0,0.0,0.0,0.0,3.0,11.0,9.0,0.0,2.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.616858566538285,0.0,1.0,4.0,5.9160559086374676,0.0,2.0,5.25,6.5,2.5,2.5,2.0,1.0,0.0,0.0,1.0,2.0,7.0,5.0,0.0,2.0,4.0,11.0,4.0,0.0,0.0
Gilroy,0.0,3.0,10.0,7.0,10.0,11.0,11.0,8.0,6.0,2.0,0.0,0.0,0.0,5.0,4.0,5.0,8.0,6.0,5.0,4.0,10.0,3.0,0.0,0.0,0.0,1.0,5.0,6.0,7.0,4.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,8.0,6.0,4.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2457990183629106,0.0,2.0,5.0,3.1985166053307075,0.75,4.0,6.0,6.5,4.5,4.5,2.0,4.5,0.0,0.0,2.0,5.0,5.0,8.0,6.0,5.0,5.0,6.0,2.0,0.0,0.0
Glendale,0.0,14.0,37.0,46.0,36.0,44.0,38.0,33.0,38.0,25.0,7.0,0.0,0.0,16.0,49.0,58.0,37.0,39.0,42.0,37.0,46.0,26.0,5.0,0.0,0.0,7.0,22.0,48.0,38.0,34.0,41.0,42.0,38.0,22.0,4.0,0.0,0.0,15.0,41.0,45.0,31.0,40.0,41.0,29.0,29.0,22.0,5.0,1.0,0.0,12.0,32.0,38.0,29.0,38.0,36.0,33.0,32.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07416039171432,0.0,24.5,38.0,16.733369347430127,7.75,31.5,38.0,34.5,37.0,28.0,29.0,30.5,0.0,0.0,14.0,37.0,46.0,36.0,39.0,41.0,33.0,38.0,24.0,5.0,0.0
Goleta,0.0,11.0,24.0,17.0,23.0,25.0,23.0,17.0,21.0,18.0,0.0,0.0,0.0,12.0,21.0,21.0,25.0,22.0,29.0,24.0,28.0,19.0,2.0,0.0,0.0,5.0,20.0,29.0,27.0,23.0,23.0,23.0,24.0,16.0,2.0,0.0,0.0,7.0,18.0,19.0,12.0,13.0,19.0,7.0,9.0,10.0,0.0,0.0,0.0,8.0,12.0,20.0,16.0,16.0,11.0,16.0,22.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.071225221629629,0.0,11.5,21.0,9.499866189958606,4.25,16.0,22.0,17.5,21.0,21.5,9.5,11.5,0.0,0.0,8.0,20.0,20.0,23.0,22.0,23.0,17.0,22.0,16.0,2.0,0.0
Grass Valley,0.0,14.0,17.0,10.0,18.0,14.0,14.0,23.0,21.0,4.0,0.0,0.0,0.0,4.0,6.0,4.0,10.0,7.0,12.0,8.0,11.0,5.0,0.0,0.0,0.0,1.0,7.0,14.0,13.0,12.0,16.0,9.0,7.0,4.0,0.0,0.0,0.0,3.0,7.0,12.0,9.0,10.0,9.0,12.0,13.0,6.0,0.0,0.0,0.0,4.0,10.0,11.0,7.0,6.0,12.0,14.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.200847410410835,0.0,6.0,11.25,6.057609492890871,0.75,7.0,12.0,14.0,5.5,7.0,8.0,6.5,0.0,0.0,4.0,7.0,11.0,10.0,10.0,12.0,12.0,13.0,5.0,0.0,0.0
Hanford,0.0,15.0,49.0,64.0,65.0,72.0,54.0,48.0,41.0,33.0,0.0,0.0,0.0,17.0,46.0,47.0,38.0,42.0,38.0,32.0,35.0,15.0,0.0,0.0,0.0,7.0,29.0,50.0,43.0,42.0,41.0,31.0,33.0,15.0,0.0,0.0,0.0,10.0,36.0,39.0,29.0,20.0,26.0,30.0,38.0,19.0,0.0,0.0,0.0,9.0,20.0,30.0,32.0,41.0,24.0,17.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.153091694609294,0.0,18.0,38.0,19.580227545523144,5.25,27.5,39.5,44.5,33.5,30.0,23.0,18.5,0.0,0.0,10.0,36.0,47.0,38.0,42.0,38.0,31.0,35.0,15.0,0.0,0.0
Hawthorne,0.0,12.0,38.0,64.0,36.0,20.0,19.0,18.0,34.0,18.0,0.0,0.0,0.0,15.0,26.0,39.0,27.0,21.0,31.0,28.0,29.0,14.0,1.0,0.0,0.0,6.0,24.0,44.0,39.0,32.0,23.0,29.0,42.0,20.0,0.0,0.0,0.0,12.0,22.0,30.0,28.0,12.0,9.0,12.0,16.0,11.0,2.0,0.0,0.0,12.0,27.0,38.0,24.0,16.0,17.0,19.0,19.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.732964752256633,0.0,14.5,26.25,14.312927268928942,5.25,18.0,28.0,18.5,23.5,23.5,12.0,16.5,0.0,0.0,12.0,26.0,39.0,28.0,20.0,19.0,19.0,29.0,16.0,1.0,0.0
Hayward,0.0,6.0,15.0,18.0,22.0,18.0,20.0,18.0,25.0,10.0,0.0,0.0,0.0,7.0,15.0,9.0,10.0,8.0,15.0,19.0,19.0,6.0,0.0,0.0,0.0,4.0,8.0,15.0,15.0,6.0,12.0,19.0,13.0,3.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,4.0,7.0,9.0,9.0,7.0,0.0,0.0,0.0,7.0,25.0,26.0,20.0,20.0,20.0,25.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.54276730570584,0.0,6.0,15.0,8.477887488707694,1.5,8.0,18.0,16.5,8.5,7.0,4.0,20.0,0.0,0.0,6.0,15.0,15.0,15.0,8.0,15.0,19.0,19.0,7.0,0.0,0.0
Hemet,0.0,13.0,39.0,67.0,76.0,84.0,72.0,52.0,42.0,30.0,14.0,0.0,0.0,13.0,33.0,43.0,39.0,40.0,32.0,35.0,42.0,28.0,0.0,0.0,0.0,4.0,14.0,28.0,39.0,44.0,37.0,29.0,32.0,18.0,0.0,0.0,0.0,10.0,30.0,34.0,23.0,25.0,25.0,19.0,19.0,12.0,3.0,0.0,0.0,10.0,33.0,50.0,49.0,52.0,50.0,48.0,39.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.904075802832057,0.0,18.5,39.0,21.433453708002997,8.5,28.0,39.25,40.5,32.5,23.0,19.0,36.0,0.0,0.0,10.0,33.0,43.0,39.0,44.0,37.0,35.0,39.0,18.0,1.0,0.0
Hollister,0.0,4.0,8.0,11.0,11.0,15.0,13.0,10.0,20.0,6.0,0.0,0.0,0.0,7.0,12.0,16.0,14.0,10.0,11.0,7.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,8.0,9.0,10.0,12.0,14.0,14.0,5.0,0.0,0.0,0.0,6.0,10.0,11.0,14.0,13.0,16.0,16.0,16.0,7.0,0.0,0.0,0.0,6.0,12.0,9.0,15.0,21.0,10.0,8.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20061080337238,0.0,6.0,11.25,6.010912862979107,0.75,8.0,12.25,9.0,7.0,6.5,10.5,8.5,0.0,0.0,6.0,10.0,11.0,14.0,13.0,12.0,10.0,14.0,5.0,0.0,0.0
Hollywood,0.0,14.0,45.0,91.0,95.0,103.0,91.0,77.0,61.0,34.0,0.0,0.0,0.0,15.0,49.0,72.0,72.0,76.0,75.0,68.0,64.0,29.0,2.0,0.0,0.0,6.0,24.0,55.0,64.0,89.0,84.0,68.0,61.0,21.0,0.0,0.0,0.0,9.0,26.0,46.0,35.0,48.0,58.0,58.0,42.0,19.0,1.0,0.0,0.0,15.0,36.0,55.0,53.0,64.0,54.0,63.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.249658803741575,0.0,25.0,61.0,31.47160409649911,5.0,43.5,64.0,53.0,56.5,39.5,30.5,41.0,0.0,0.0,14.0,36.0,55.0,64.0,76.0,75.0,68.0,61.0,22.0,0.0,0.0
Indio,0.0,6.0,10.0,17.0,18.0,26.0,36.0,33.0,33.0,14.0,2.0,0.0,0.0,11.0,14.0,24.0,37.0,30.0,25.0,23.0,21.0,12.0,3.0,0.0,0.0,2.0,9.0,17.0,20.0,14.0,28.0,27.0,16.0,9.0,1.0,0.0,0.0,4.0,4.0,5.0,5.0,11.0,12.0,7.0,9.0,8.0,1.0,0.0,0.0,6.0,6.0,12.0,9.0,6.0,14.0,20.0,22.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.549347486663153,0.0,6.5,16.25,10.484370934791706,2.75,9.5,18.5,15.5,17.5,11.5,5.0,7.5,0.0,0.0,6.0,9.0,17.0,18.0,14.0,25.0,23.0,21.0,12.0,1.0,0.0
Inglewood,0.0,3.0,10.0,12.0,8.0,14.0,9.0,11.0,10.0,3.0,7.0,0.0,0.0,4.0,8.0,6.0,6.0,3.0,9.0,6.0,11.0,4.0,0.0,0.0,0.0,2.0,10.0,8.0,9.0,12.0,6.0,10.0,10.0,3.0,0.0,0.0,0.0,4.0,9.0,10.0,8.0,13.0,11.0,8.0,6.0,3.0,0.0,0.0,0.0,5.0,10.0,11.0,9.0,10.0,12.0,13.0,16.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722585827849871,0.0,5.5,10.0,4.435985358597898,3.0,7.5,10.0,8.5,5.0,7.0,7.0,9.5,0.0,0.0,4.0,10.0,10.0,8.0,12.0,9.0,10.0,10.0,3.0,0.0,0.0
